operation,amount,time
tan,100000000,492498
concat,100000000,16254
equals,100000000,13152
not equals,100000000,19121
addition,100000000,22054
substraction,100000000,26779
division,100000000,16849
multiplication,100000000,13504
greater than,100000000,12449
smaller than,100000000,17843
sqrt,100000000,15014
pow,100000000,1362175
sin,100000000,480893
tan,100000000,487886
concat,100000000,15749
equals,100000000,12898
not equals,100000000,11920
addition,100000000,19913
substraction,100000000,43939
division,100000000,12048
multiplication,100000000,12719
greater than,100000000,17657
smaller than,100000000,22925
sqrt,100000000,21512
pow,100000000,1364326
sin,100000000,488751
tan,100000000,482438
concat,100000000,17255
equals,100000000,13668
not equals,100000000,21245
addition,100000000,18743
substraction,100000000,28375
division,100000000,17057
multiplication,100000000,12691
greater than,100000000,16734
smaller than,100000000,15176
sqrt,100000000,13351
pow,100000000,1365874
sin,100000000,480363
tan,100000000,478347
concat,100000000,18689
equals,100000000,12725
not equals,100000000,13894
addition,100000000,20903
substraction,100000000,22461
division,100000000,11775
multiplication,100000000,13363
greater than,100000000,11975
smaller than,100000000,21580
sqrt,100000000,22223
pow,100000000,1372431
sin,100000000,480011
tan,100000000,481749
concat,100000000,11450
equals,100000000,12685
not equals,100000000,11432
addition,100000000,22805
substraction,100000000,29724
division,100000000,11445
multiplication,100000000,12641
greater than,100000000,13812
smaller than,100000000,15693
sqrt,100000000,15893
pow,100000000,1364109
sin,100000000,482896
tan,100000000,484270
concat,100000000,20104
equals,100000000,13464
not equals,100000000,15952
addition,100000000,16331
substraction,100000000,41529
division,100000000,17758
multiplication,100000000,12674
greater than,100000000,17352
smaller than,100000000,21803
sqrt,100000000,18241
pow,100000000,1358820
sin,100000000,491893
tan,100000000,483484
concat,100000000,12087
equals,100000000,13564
not equals,100000000,17738
addition,100000000,19086
substraction,100000000,37385
division,100000000,19525
multiplication,100000000,12791
greater than,100000000,15425
smaller than,100000000,13974
sqrt,100000000,16119
pow,100000000,1364239
sin,100000000,481083
tan,100000000,481355
concat,100000000,14325
equals,100000000,12706
not equals,100000000,23392
addition,100000000,18055
substraction,100000000,44733
division,100000000,16352
multiplication,100000000,12671
greater than,100000000,13972
smaller than,100000000,18317
sqrt,100000000,12274
pow,100000000,1374629
sin,100000000,483726
tan,100000000,481132
concat,100000000,21731
equals,100000000,12684
not equals,100000000,14992
addition,100000000,17926
substraction,100000000,24697
division,100000000,22378
multiplication,100000000,12940
greater than,100000000,18320
smaller than,100000000,11972
sqrt,100000000,11603
pow,100000000,1376899
sin,100000000,480753
tan,100000000,482426
concat,100000000,19383
equals,100000000,12681
not equals,100000000,22123
addition,100000000,15600
substraction,100000000,18303
division,100000000,16694
multiplication,100000000,13122
greater than,100000000,21146
smaller than,100000000,22613
sqrt,100000000,15795
pow,100000000,1374938
sin,100000000,484277
tan,100000000,486363
concat,100000000,20060
equals,100000000,12733
not equals,100000000,16857
addition,100000000,20239
substraction,100000000,35825
division,100000000,22794
multiplication,100000000,12960
greater than,100000000,17205
smaller than,100000000,13044
sqrt,100000000,12910
pow,100000000,1359970
sin,100000000,487649
tan,100000000,478412
concat,100000000,16799
equals,100000000,13959
not equals,100000000,16536
addition,100000000,13056
substraction,100000000,35908
division,100000000,17214
multiplication,100000000,13190
greater than,100000000,21906
smaller than,100000000,22349
sqrt,100000000,13049
pow,100000000,1376871
sin,100000000,489642
tan,100000000,477252
concat,100000000,14568
equals,100000000,12828
not equals,100000000,20350
addition,100000000,20511
substraction,100000000,30534
division,100000000,16650
multiplication,100000000,13060
greater than,100000000,22426
smaller than,100000000,15189
sqrt,100000000,19164
pow,100000000,1362537
sin,100000000,485796
tan,100000000,484382
concat,100000000,18112
equals,100000000,13252
not equals,100000000,22279
addition,100000000,14325
substraction,100000000,21150
division,100000000,22742
multiplication,100000000,14534
greater than,100000000,13638
smaller than,100000000,18166
sqrt,100000000,14429
pow,100000000,1378840
sin,100000000,489078
tan,100000000,496619
